Case No.,IOC English name,Scientific name,Location,State/Territory,Sighting Date,Submission,Decision,Acceptance tally
542,Asian Brown Flycatcher,Muscicapa dauurica,Ashmore Reef,WA,10/25/2006,,Accepted,2
586,Asian Brown Flycatcher,Muscicapa dauurica,Ashmore Reef,WA,10/25/2007,,Accepted,3
621,Asian Brown Flycatcher,Muscicapa dauurica,Ashmore Reef,WA,10/29/2009,,Accepted,4
779,Asian Brown Flycatcher,Muscicapa dauurica,Cocos (Keeling) Islands,IOT,11/12/2012,,Accepted,5
842,Asian Brown Flycatcher,Muscicapa dauurica,"West Island, Ashmore Reef",IOT,4/14/2010,,Accepted,6
843,Asian Brown Flycatcher,Muscicapa dauurica,"West Island, Ashmore Reef",IOT,2/5/2011,,Accepted,7
844,Asian Brown Flycatcher,Muscicapa dauurica,"West Island, Ashmore Reef",IOT,11/10/2011,,Accepted,8
845,Asian Brown Flycatcher,Muscicapa dauurica,Browse Island,WA,4/17/2012,,Accepted,9
846,Asian Brown Flycatcher,Muscicapa dauurica,"West Island, Ashmore Reef",IOT,10/22/2013,,Accepted,10
847,Asian Brown Flycatcher,Muscicapa dauurica,"West Island, Ashmore Reef",IOT,11/16/2013,,Accepted,11
1083,Asian Brown Flycatcher,Muscicapa dauurica,Cocos (Keeling) Islands,IOT,11/30/2016,Submission,Accepted,12
1229,Asian Brown Flycatcher,Muscicapa dauurica,Christmas Island,IOT,12/22/2021,Submission,Accepted,13
85,Asian Dowitcher,Limnodromus semipalmatus,Stockton,NSW,4/6/1985,,Accepted,1
313,Asian House Martin,Delichon dasypus,Chistmas Island,IOT,12/1/1996,,Accepted,1
320,Asian House Martin,Delichon dasypus,Chistmas Island,IOT,11/2/1993,,Not Accepted,x
384,Asian House Martin,Delichon dasypus,Chistmas Island,IOT,4/15/2003,,Accepted,2
530,Asian House Martin,Delichon dasypus,Cocos (Keeling) Islands,IOT,3/6/2007,,Accepted,3
