Case No.,IOC English name,Scientific name,Location,State/Territory,Sighting Date,Submission,Decision,Acceptance tally
1066,Buff-breasted Sandpiper,Calidris subruficollis ,Jerseyville,NSW,25/11/2018 - 04/12/2018,Submission,Accepted,12
1087,Buff-breasted Sandpiper,Calidris subruficollis ,"Bald Hills, Brisbane",QLD,10/27/2019,Submission,Accepted,13
1143,Buff-breasted Sandpiper,Calidris subruficollis ,Wrights Creek,QLD,11/19/2019,Submission,Accepted,14
1175,Buff-breasted Sandpiper,Calidris subruficollis ,Eighty Mile Beach,WA,28-29 Nov-20,Submission,Accepted,15
1180,Buff-breasted Sandpiper,Calidris subruficollis ,Lake Wollumboola,NSW,12-Dec-20 - 15-Mar-21,Submission,Accepted,16
1188,Buff-breasted Sandpiper,Calidris subruficollis ,Bundaberg Port,QLD,28-Feb-09 to 24-Apr-09,Submission,Accepted,17
787,Buffy Fish-Owl,Ketupa ketupu,Cocos (Keeling) Islands,IOT,10/23/1941,,Accepted,1
110,Bulwer's Petrel,Bulweria bulwerii,Coral Sea ,QLD,11/4/1985,,Accepted,1
114,Bulwer's Petrel,Bulweria bulwerii,Portland,VIC,9/14/1986,,Accepted,2
126,Bulwer's Petrel,Bulweria bulwerii,Discovery Bay,VIC,4/7/1991,,Accepted,3
169,Bulwer's Petrel,Bulweria bulwerii,Discovery Bay,VIC,4/4/1993,,Accepted,4
262,Bulwer's Petrel,Bulweria bulwerii,off Southport ,QLD,2/27/1999,,Not Accepted,x
964,Bulwer's Petrel,Bulweria bulwerii,Bremer Canyon,WA,3/9/2017,,Accepted,5
401,Canada Goose,Branta canadensis ,Shoalhaven Heads ,NSW,10/18/2002,,Accepted,1
551,Canada Goose,Brenta canadensis,Milton ,NSW,12/30/2007,,Accepted,2
1216,Canada Goose,Branta canadensis,"Old Settlement, Lord Howe Island",NSW,18-Dec-21 to 19-Jan-22,Submission,Accepted,3
96,Cape Gannet,Morus capensis,Port Phillip Bay,VIC,10/4/1980,,Accepted,1
421,Cape Gannet ,Morus capensis,Point Danger ,VIC,4/5/2004,,Accepted,2
,Cases in blue need new summaries uploaded after cases were reviewed,,,,,,,
207,Caspian Plover,Charadrius asiaticus,Cleveland Bay ,QLD,Nov-95,,Not Accepted,x
218,Caspian Plover,Charadrius asiaticus,Lake Finnis ,NT,Oct-94,,Accepted,1
226,Cave/Plume-toed Swiftlet,Collocalia affinis/linchi,Broome ,WA,Mar-96,,Accepted,4
378,Chaffinch,Fringilla coelebs,Macquarie Island ,TAS,11/5/2002,,Accepted,2
709,Chatham Albatross,Thalassarche eremita,Mewstone,TAS,2/1/1995,,Accepted,1
710,Chatham Albatross,Thalassarche eremita,off southern Tasmania,TAS,6/18/1986,,Accepted,2
713,Chatham Albatross,Thalassarche eremita,Albatross Island,TAS,1/17/1983,,Accepted,3
714,Chatham Albatross,Thalassarche eremita,Albatross Island,TAS,9/9/1985,,Accepted,4
718,Chatham Albatross,Thalassarche eremita,Cape Schanck,VIC,8/8/1976,,Not Accepted,x
741,Chatham Albatross,Thalassarche eremita,off Eaglehawk Neck,TAS,9/3/2011,,Accepted,5
1242,Chatham Albatross,Thalassarche eremita,Bremer Canyon,WA,2/8/2019,Submission,Accepted,6
722,Chestnut-cheeked Starling,Agropsar philippensis,Ashmore Reef,WA,11/14/2011,,Accepted,1
629,Chestnut-tailed Starling,Sturnia malabarica,"Hornsby, Sydney ",NSW,1/24/2010,,Not Accepted,x
1065,Chestnut-winged Cuckoo,Clamator coromandus,Cocos (Keeling) Islands,IOT,03/12/2018 - 18/Feb/19,Submission,Accepted,1
452,Chinese Pond Heron,Ardeola bacchus,Chistmas Island,IOT,11/17/2003,,Not Accepted,x
488,Chinese Pond Heron,Ardeola bacchus,Cocos (Keeling) Islands,IOT,5/3/2006,,Accepted,1
567,Chinese Pond Heron,Ardeola bacchus,Chistmas Island,IOT,3/1/2008,,Accepted,2
589,Chinese Pond Heron,Ardeola bacchus,Tanami Desert ,NT,3/23/2009,,Accepted,3
611,Chinese Pond Heron,Ardeola bacchus,Scott Reef,WA,3/4/2009,,Accepted,4
626,Chinese Pond Heron,Ardeola bacchus,Chistmas Island,IOT,5/1/2009,,Accepted,5
1097,Chinese Pond Heron,Ardeola bacchus,Wyndham,WA,5/31/2019,Submission,Not Accepted,x
1142,Chinese Pond Heron,Ardeola bacchus,"Nimiliaca Wetlands, Broome",WA,3/29/2008,Submission,Accepted,6
1160,Chinese Pond Heron,Ardeola bacchus,Cocos (Keeling) Islands,IOT,3-Jan-11 to 24-Mar-11,Submission,Not Accepted,x 
1161,Chinese Pond Heron,Ardeola bacchus,Cocos (Keeling) Islands,IOT,21-May-14 to 00-jan-20,Submission,Accepted,7
1162,Chinese Pond Heron,Ardeola bacchus,Cocos (Keeling) Islands,IOT,23-Jun-15 tp 30-Dec-15,Submission,Accepted,8
1163,Chinese Pond Heron,Ardeola bacchus,Cocos (Keeling) Islands,IOT,00-Sep-15 to 00-Jan-16,Submission,Not Accepted,x
1164,Chinese Pond Heron,Ardeola bacchus,Cocos (Keeling) Islands,IOT,6-Oct-19 to 00-Jan-20,Submission,Accepted,9
754,Chinese Sparrowhawk,Accipiter soloensis,Cocos (Keeling) Islands,IOT,12/4/2010,,Accepted,1
757,Chinese Sparrowhawk,Accipiter soloensis,Cocos (Keeling) Islands,IOT,12/5/2011,,Accepted,2
803,Chinese Sparrowhawk,Accipiter soloensis ,Ashmore Reef,WA,11/14/2013,,Accepted,3
1020,Chinese Sparrowhawk,Accipiter soloensis,Browse Island,WA,11/9/2016,Submission,Accepted,4
1158,Chinese Sparrowhawk,Accipter soloensis,Broome,WA,8/9/2020,Submission,Under review,
1250,Chinese Sparrowhawk,Accipiter soloensis,Cocos (Keeling) Islands,IOT,Late Nov thru to Jan 22,Submission,Accepted,5
16,Chinstrap Penguin,Pygoscelis antarcticus ,Port Davey,TAS,1/11/1980,,Accepted,1
388,Chinstrap Penguin,Pygoscelis antarcticus ,Macquarie Island ,TAS,1/21/2003,,Accepted,2
1106,Chinstrap Penguin,Pygoscelis antarcticus,Macquarie Island,TAS,11/19/2019,Submission,Accepted,4
804,Chinstrap Penguin ,Pygoscelis antarcticus,Macquarie Island,TAS,11/20/2013,,Accepted,3
3,Christmas Island Frigatebird,Fregata andrewsi,Nakara,NT,1/21/1974,,Accepted,1
814,Christmas Island Frigatebird,Fregata andrewsi,Darwin,NT,1/31/2014,,Accepted,3
815,Christmas Island Frigatebird,Fregata andrewsi,Darwin,NT,2/6/2014,,Accepted,2
816,Christmas Island Frigatebird,Fregata andrewsi,Darwin,NT,2/6/2014,,Not Accepted,x
817,Christmas Island Frigatebird,Fregata andrewsi,Darwin,NT,3/15/2014,,Not Accepted,x
332,Cinnamon Bittern,Ixobrychus cinnamomeus,Chistmas Island,IOT,2/22/2002,,Accepted,1
555,Cinnamon Bittern,Ixobrychus cinnamomeus,Chistmas Island,IOT,3/1/2008,,Accepted,2
730,Cinnamon Bittern,Ixobrychus cinnamomeus,Anna Plains Station,WA,12/9/2011,,Accepted,3
1075,Cinnamon Bittern,Ixobrychus cinnamomeus,Christmas Island,IOT,7/10/2019,Submission,Accepted,5
945,Cinnamon Bittern ,Ixobrychus cinnamomeus,Christmas Island,IOT,2/10/2011,,Accepted,4
22,Citrine Wagtail,Motacilla citreola,Botany Bay,NSW,7/1/1962,,Accepted,1
92,Citrine Wagtail,Motacilla citreola,South Alligator River,SA,12/27/1981,,Not Accepted,x
186,Citrine Wagtail,Motacilla citreola,Goolwa,SA,5/28/1987,,Accepted,2
323,Citrine Wagtail,Motacilla citreola,Near Mossman ,QLD,10/15/2000,,Not Accepted,x
597,Citrine Wagtail,Motacilla citreola,Chistmas Island,IOT,5/5/2009,,Accepted,3
855,Citrine Wagtail,Motacilla citreola,"Putta Bucca Wetlands, Mudgee",NSW,8/24/2014,,Accepted,4
1047,Citrine Wagtail,Motacilla citreola,Whyalla Wetlands,SA,12/26/2018,Submission,Accepted,5
1167,Citrine Wagtail,Motacilla citreola,Katherine,NT,26-Jul-20 - 28-Jul-20,Submission,Accepted,6
45,Collared Imperial-Pigeon,Ducula mullerii,"Boigu Island, Torres Strait",QLD,1/7/1980,,Accepted,1
308,Collared Imperial-Pigeon,Ducula mullerii,Fantome Island ,QLD,1/27/2001,,Accepted,2
337,Collared Imperial-Pigeon,Ducula mullerii,"Boigu Island, Torres Strait",QLD,1/19/2002,,Accepted,3
338,Collared Imperial-Pigeon,Ducula mullerii,"Saibai Island, Torres Strait",QLD,1/27/2002,,Accepted,4
393,Collared Imperial-Pigeon,Ducula mullerii,"Boigu Island, Torres Strait",QLD,8/24/2002,,Accepted,5
443,Collared Imperial-Pigeon,Ducula mullerii,"Boigu Island, Torres Strait",QLD,11/13/2004,,Accepted,6
444,Collared Imperial-Pigeon,Ducula mullerii,"Saibai Island, Torres Strait",QLD,11/18/2004,,Accepted,7
904,Collared Kingfisher,Todiramphus chloris,Browse Island,WA,11/5/2015,,Accepted,1
603,Collared Petrel,Pterodroma brevipes,off Norfolk Island ,NI,3/4/2007,,Accepted,1
604,Collared Petrel,Pterodroma brevipes,off Norfolk Island ,NI,3/31/2007,,Accepted,2
605,Collared Petrel,Pterodroma brevipes,off Norfolk Island ,NI,4/7/2008,,Accepted,3
606,Collared Petrel,Pterodroma brevipes,off Norfolk Island ,NI,10/6/2008,,Accepted,4
607,Collared Petrel,Pterodroma brevipes,off Norfolk Island ,NI,3/20/2009,,Accepted,5
608,Collared Petrel,Pterodroma brevipes,off Norfolk Island ,NI,3/21/2009,,Accepted,6
837.1,Collared Petrel,Pterodroma brevipes,Queensland Seamount,QLD,4/12/2014,,Accepted,7
837.2,Collared Petrel,Pterodroma brevipes,Britannia Seamount,NSW,4/13/2014,,Accepted,8
1152,Collared Petrel,Pterodroma brevipes,Britannia Seamount,NSW,3/29/2020,Submission,Accepted,8
1177,Collared Petrel,Pterodroma brevipes,Queensland Seamount,QLD,10/31/2020,Submission,Accepted,10
1183,Collared Petrel,Pterodroma brevipes,Brittania Seamount,NSW,7/11/2020,Submission,Accepted,11
1187,Collared Petrel,Pterodroma brevipes,Brittania Seamount,NSW,3/14/2021,Submission,Accepted,12
1051,Collared Pratincole,Glareola pratincola,Point Walter,WA,22/01/2019 - 01/03/2019,Submission,Accepted,1
314,Common Chaffinch,Fringilla coelebs,"Phillip Island, Norfolk Island ",NI,5/4/2001,,Accepted,1
1286,Common Cuckoo,Cuculus canurus,Cocos (Keeling) Islands,IOT,Oct-Dec-2022,,Under review,
364,Common Kingfisher,Alcedo atthis,Chistmas Island,IOT,9/11/2002,,Accepted,1
486,Common Kingfisher,Alcedo atthis,Chistmas Island,IOT,5/5/2005,,Accepted,2
523,Common Kingfisher,Alcedo atthis,Chistmas Island,IOT,12/7/2006,,Accepted,3
909,Common Kingfisher,Alcedo atthis,Cocos (Keeling) Islands,IOT,9/23/2015,,Accepted,4
910,Common Kingfisher,Alcedo atthis,Cocos (Keeling) Islands,IOT,10/9/2015,,Accepted,5
996,Common Kingfisher,Alcedo atthis,Cocos (Keeling) Islands,IOT,14-Nov-17 - 19-Mar-18,,Accepted,6&7
644,Common Moorhen,Gallinula chloropus,Cocos (Keeling) Islands,IOT,11/23/2009,,Accepted,1
1003,Common Moorhen,Gallinula chloropus,Redbanks Creek,NT,4/11/2018,Submission,Non Accepted,x
1296,Common Moorhen,Gallinula chloropus ,Hall's Creek,WA,17-30/09/2023,,Under review,
908,Common Moorhen  ,Gallinula chloropus,Cocos (Keeling) Islands,IOT,9/13/2016,,Accepted,2
203,Common Paradise Kingfisher,Tanysiptera galatea,Stephens Island ,QLD,3/15/1993,,Not Accepted,x
44,Common Paradise-Kingfisher,Tanysiptera galatea,"Darnley Island, Torres Strait",QLD,2/22/1978,,Not Accepted,x
980,Common Redpoll,Carduelis flammea,Inskipp Point,QLD,6/2/2013,,Accepted,1
62,Common Redshank,Tringa totanus,"St Kilda, Adelaide",SA,May-Sep 1983,,Accepted,1
133,Common Ringed Plover,Charadrius hiaticula,Boonooroo,QLD,8/13/1983,,Accepted,1
205,Common Ringed Plover,Charadrius hiaticula,Fisherman Island ,QLD,Sep-95,,Not Accepted,x
251,Common Ringed Plover,Charadrius hiaticula,Lake Connewarre  ,VIC,1/10/1998,,Not Accepted,x
330,Common Ringed Plover,Charadrius hiaticula,Marlo ,VIC,1/22/2002,,Accepted,2
476,Common Ringed Plover,Charadrius hiaticula,Rottnest Island ,WA,11/11/2005,,Accepted,3
527,Common Ringed Plover,Charadrius hiaticula,Mandurah,WA,2/4/2007,,Accepted,4
585,Common Ringed Plover,Charadrius hiaticula,Mildura ,VIC,11/30/2008,,Not Accepted,x
985,Common Ringed Plover,Charadrius hiaticula ,Stockton Beach,NSW,8/25/2017,,Accepted,5
1023,Common Ringed Plover,Charadrius hiaticula ,Queenscliff,VIC,19-Jan to 9-May-81,Submission,Accepted,7
1147,Common Ringed Plover,Charadrius hiaticula ,Little Eyre Island,SA,1-Mar-20 - 14-May-20,Submission,Accepted,8
1298,Common Ringed Plover,Charadrius hiaticula,Near Bundaberg,QLD,34/11/2023,,Under review,
1100,Common Snipe,Gallinago gallinago,Cocos (Keeling) Islands,IOT,12/19/2019,Submission,Not Accepted,x
975,Common Swift,Apus apus,Christmas Island,IOT,12/11/2016,,Accepted,1
660,Common Teal,Anas crecca,Cocos (Keeling) Islands,IOT,12/10/2010,,Accepted,1
738,Common Teal,Anas crecca,Cocos (Keeling) Islands,IOT,12/9/2011,,Accepted,2
1078,Common Teal,Anas crecca,Near Roebourne,WA,8/22/2019,Submission,Accepted,3
1254,Common Tern,Sterna hirundo hirundo,Hastings Point ,NSW,2/4/2022,Submission,Accepted,1
73,Cook's Petrel,Pterodroma cookii,Sydney,NSW,5/25/1985,,Not Accepted,x
136,Cook's Petrel,Pterodroma cookii,off Wollongong,NSW,12/2/1991,,Not Accepted,x
145,Cook's Petrel,Pterodroma cookii,off Wollongong,NSW,9/22/1990,,Not Accepted,x
153,Cook's Petrel,Pterodroma cookii,off Storm Bay,TAS,1/10/1992,,Not Accepted,x
426,Cook's Petrel,Pterodroma cookii,Port Fairy ,VIC,12/1/2002,,Accepted,1
427,Cook's Petrel,Pterodroma cookii,Port Fairy ,VIC,2/1/2004,,Accepted,2
559,Cook's Petrel,Pterodroma cookii,off Wollongong ,NSW,11/24/2007,,Accepted,3
617,Cook's Petrel,Pterodroma cookii,Grafton ,NSW,10/22/2009,,Accepted,4
898,Cook's Petrel,Pterodroma cookii,"Circular Quay, Sydney",NSW,3/26/2009,,Accepted,5
899,Cook's Petrel,Pterodroma cookii,Ulladulla,NSW,10/19/2009,,Accepted,6
900,Cook's Petrel,Pterodroma cookii,Off Southport,QLD,12/20/2015,,Accepted,7
965,Cook's Petrel,Pterodroma cookii,Port Stephens,NSW,11/27/2016,,Accepted,8
984,Cook's Petrel,Pterodroma cooki,Port Stephens ,NSW,11/12/2017,,Accepted,9
1102,Cook's Petrel,Pterodroma cookii,Britannia Seamount,NSW/QLD,5-6/10/2019,Submission,Accepted,10
1153,Cook's Petrel,Pterodroma cookii,Bremer Canyon,WA,2/14/2020,Submission,Accepted,11
978,Cook's Swift,Apus pacificus cooki,Christmas Island,IOT,12/11/2016,,Not Accepted,x
94,Corncrake,Crex crex,Randwick,NSW,14/6/1893,,Accepted,1
1140,Corncrake,Crex crex,Christmas Island,IOT,12/16/2016,Submission,Accepted,2
1172,Corncrake,Crex crex,Cocos (Keeling) Islands,IOT,11/7/2020,Submission,Accepted,3
1215,Corncrake,Crex crex,Mareeba,QLD,3/17/2021,Submission,Not Accepted,x
916,Coroneted Fruti-Dove,Ptilinopus coronulatus,"Boigu Island, Torres Strait",QLD,3/18/2016,,Not Accepted,x
1103,Cory's Shearwater,Calonectris borealis,Bremer Canyon,WA,1/19/2019,Submission,Accepted,1
1118,Cory's Shearwater,Calonectris borealis,off Denmark,WA,12/31/2019,Submission,Accepted,2
1119,Cory's Shearwater,Calonectris borealis,Bremer Canyon,WA,1/5/2020,Submission,Accepted,3
1120,Cory's Shearwater,Calonectris borealis,Bremer Canyon,WA,1/25/2020,Submission,Accepted,4
1121,Cory's Shearwater,Calonectris borealis,Bremer Canyon,WA,1/11/2020,Submission,Not Accepted,x
933,Crow-billed Drongo,Dicrurus annectans,Cocos (Keeling) Islands,IOT,12/6/2015,,Accepted,1
288,Dark-rumped Swift,Apus acuticauda,Chistmas Island,IOT,11/18/1999,,Not Accepted,x
588,Dark-sided Flycatcher,Muscicapa sibirica,Shay Gap ,WA,10/15/2003,,Accepted,1
595,Dark-sided Flycatcher,Muscicapa sibirica,Cocos (Keeling) Islands,IOT,11/15/2008,,Accepted,2
706,Dark-sided Flycatcher,Muscicapa sibirica,Ashmore Reef,WA,10/16/2010,,Accepted,3
1081,Dark-sided Flycatcher,Muscicapa sibrica,Cocos (Keeling) Islands,IOT,12/22/2018,Submission,Accepted,4
1082,Dark-sided Flycatcher,Muscicapa sibrica,Cocos (Keeling) Islands,IOT,11/11/2015,Submission,Accepted,5
67,Dunlin,Calidris alpina,Ardrossan,SA,10/11/1985,,Not Accepted,x
68,Dunlin,Calidris alpina,Esperance,WA,4/23/1985,,Accepted,1
69,Dunlin,Calidris alpina,Cains Esplanade,QLD,12/3/1977,,Not Accepted,x
70,Dunlin,Calidris alpina,Cains Esplanade,QLD,1/4/1983,,Accepted,2
271,Dunlin,Calidris alpina,Cape Bowling Green ,QLD,Jul-99,,Accepted,3
358,Dunlin,Calidris alpina,Peterborough ,VIC,11/1/2002,,Not Accepted,x
633,Dunlin,Calidris alpina,Lake Tuross ,NSW,1/5/2010,,Accepted,4
11,Dusky Robin,Melanodryas vittata,Cape Otway district,VIC,2/26/1978,,Not Accepted,x
620,Dusky Warbler,Phylloscopus fuscatus,Chistmas Island,IOT,5/3/2009,,Accepted,1
47,Eastern Marsh Harrier,Circus spilonotus ,Humpty Doo,NT,7/7/1979,,Not Accepted,x
15,Eastern Yellow Wagtail,Motacilla tschutschensis,Richmond,NSW,4/29/1979,,Accepted,1
31,Eastern Yellow Wagtail,Motacilla tschutschensis,Sanderson,NT,10/8/1977,,Accepted,2
105,Eastern Yellow Wagtail,Motacilla tschutschensis,Eyre,WA,4/7/1984,,Accepted,3
953,Eastern Yellow Wagtail (race lutea),Motacilla flava lutea,Broome,WA,3/4/2016,,Not Accepted,x
577,Edible-nest Swiftlet,Aerodramus fuciphagus,Chistmas Island,IOT,4/27/2008,,Not Accepted,x
1199,Elegant Pitta,Pitta elegans elegans,Barrow Island (ship assisted),WA,1/7/2018,Submission,Not Accepted,x
1200,Elegant Pitta,Pitta elegans vigorsii,Barrow Island (ship assisted),WA,12/9/2018,Submission,Accepted,1
372,Emperor Penguin,Aptenodytes forsteri,Macquarie Island ,TAS,2/21/1997,,Accepted,1
398,Emperor Penguin,Aptenodytes fosteri,Macquarie Island ,TAS,2/14/1998,,Accepted,2
222,Erect-crested Penguin,Eudyptes sclateri,Twelve Apostles ,VIC,Feb-97,,Accepted,1
857,Erect-crested Penguin,Eudyptes sclateri,"The Skerries, Croajingolong National Park",VIC,2/19/2014,,Accepted,2
257,Eurasian Curlew,Numenius arquata,Lower Daintree ,QLD,10/23/1998,,Not Accepted,x
545,Eurasian Curlew,Numenius arquata,80 Mile Beach ,WA,11/26/2007,,Accepted,1
580,Eurasian Curlew,Numenius arquata,Labrador ,QLD,10/26/2008,,Not Accepted,x
679,Eurasian Curlew,Numenius arquata,Darwin,NT,2/19/2011,,Not Accepted,x
801,Eurasian Curlew,Numenius arquata,Shark Bay,WA,10/18/2013,,Not Accepted,x
861,Eurasian Curlew,Numenius arquata,Roebuck Bay,WA,2/10/2015,,Accepted,2
990,Eurasian Curlew,Numenius arquata,Pilbura,WA,1/15/2018,,Not Accepted,x
1049,Eurasian Curlew,Numenius arquata,"Point Douro, Australind",WA,1/19/2016,Submission,Accepted,3
1063,Eurasian Curlew,Numenius arquata,Cocos (Keeling) Islands,IOT,09/11/2015 - 15/01/2018,Submission,Accepted,4
1258,Eurasian Curlew,Numenius arquata,Austin Bay NR,WA,1/30/2022,Submission,Accepted,5
414,Eurasian Hobby,Falco subbuteo,"West Island, Ashmore Reef",WA,11/2/2003,,Not Accepted,x
533,Eurasian Hobby,Falco subbuteo,Chistmas Island,IOT,3/3/2007,,Not Accepted,x
682,Eurasian Hobby,Falco subbuteo,Cocos (Keeling) Islands,IOT,12/5/2010,,Accepted,1
903,Eurasian Hobby,Falco subbuteo,Cocos (Keeling) Islands,IOT,2/4/2014,,Accepted,2
917,Eurasian Hobby,Falco subbuteo,"Southlake, Perth",WA,2/6/2016,,Accepted,3
1068,Eurasian Hobby,Falco subbuteo,NorthLake,WA,12/2018 - 01/2019,Submission,Accepted,4
1223,Eurasian Hobby,Falco subbuteo,Roebuck Bay,WA,3/18/2022,Submission,Not Accepted,x
729,Eurasian Hoopoe,Upupa epops,Broome,WA,11/10/2011,,Accepted,1
812,Eurasian Hoopoe,Upupa epops,Elcho Island,NT,2/3/2014,,Accepted,2
558,Eurasian Magpie,Pica pica,Port Hedland ,WA,11/5/2007,,Accepted,x
558.1,Eurasian Magpie,Pica pica,Port Hedland ,WA,11/5/2007,Submission,Not Accepted,x
778,Eurasian Wigeon,Mareca penelope,Carnarvon,WA,3/6/2013,,Accepted,1
680,European Roller,Coracias garrulus,Cocos (Keeling) Islands,IOT,1/2/2011,,Accepted,1
719,Eyebrowed Thrush,Turdus obscurus,Malanda,QLD,2/6/2011,,Accepted,1
1026,Eyebrowed Thrush,Turdus obsucrus,Cocos (Keeling) Islands,IOT,12/28/2014,Submission,Accepted,2
1027,Eyebrowed Thrush,Turdus obsucrus,Cocos (Keeling) Islands,IOT,19-27 Dec 15,Submission,Accepted,3
1031,Eyebrowed Thrush,Turdus obsucrus,Cocos (Keeling) Islands,IOT,1/11/2018,Submission,Accepted,4
1062,Eyebrowed Thrush,Turdus obsucrus,Cocos (Keeling) Islands,IOT,06-09/12/2016,Submission,Accepted,5
1098,Eyebrowed Thrush,Turdus obsucrus,Christmas Island,IOT,12/18/2019,Submission,Accepted,6
1145,Eyebrowed Thrush,Turdus obscurus,Cocos (Keeling) Islands,IOT,30-Nov-19 ++,Submission,Accepted,7
1150,Eyebrowed Thrush,Turdus obsucrus,Walcott Inlet,WA,1/11/2020,Submission,Accepted,8
748,Fairy Pitta,Pitta nympha,Derby,WA,12/13/2007,,Accepted,1
769,Fairy Pitta,Pitta nympha,Chistmas Island,IOT,11/11/2012,,Accepted,2
1053,Fairy Pitta,Pitta nympha,Broome,WA,07-09/02/2019,Submission,Accepted,3
662,Forest Wagtail,Dendronanthus indicus,Chistmas Island,IOT,5/17/2009,,Accepted,1
811,Forest Wagtail,Dendronanthus indicus,Alice Springs,NT,4/29/2013,,Accepted,2
5,Franklin's Gull,Larus pipixcan,Jurien Bay,WA,3/27/1974,,Not Accepted,x
8,Franklin's Gull,Larus pipixcan,Geraldton,WA,3/7/1976,,Accepted,1
37,Franklin's Gull,Larus pipixcan,Brisbane,QLD,Jan-Mar 1981,,Accepted,2
40,Franklin's Gull,Larus pipixcan,Sydney,NSW,5/11/1981,,Accepted,3
125,Franklin's Gull,Larus pipixcan,Lake Monger,WA,2/22/1988,,Accepted,4
132,Franklin's Gull,Larus pipixcan,Menindee Lake,NSW,10/3/1991,,Not Accepted,x
137,Franklin's Gull,Larus pipixcan,Lake Cowal,NSW,1/29/1992,,Accepted,5
201,Franklin's Gull,Larus pipixcan,Margate ,QLD,11/8/1994,,Accepted,6
227,Franklin's Gull,Larus pipixcan,Eagle Bay ,WA,Apr-91,,Accepted,7
244,Franklin's Gull,Larus pipixcan,Broome ,WA,12/29/1996,,Accepted,8
249,Franklin's Gull,Larus pipixcan,Brisbane ,QLD,6/24/1998,,Accepted,9
268,Franklin's Gull,Larus pipixcan,Peterborough ,VIC,4/18/1999,,Accepted,10
351,Franklin's Gull,Larus pipixcan,Salisbury Downs ,SA,7/22/2002,,Accepted,11
405,Franklin's Gull,Larus pipixcan,"Little Bay, Sydney ",NSW,12/14/2003,,Not Accepted,x
411,Franklin's Gull,Larus pipixcan,Anglesea ,VIC,1/19/2004,,Accepted,12
429,Franklin's Gull,Larus pipixcan,Western Port ,VIC,5/16/2004,,Accepted,13
459,Franklin's Gull,Larus pipixcan,Avoka Beach ,NSW,3/26/2005,,Not Accepted,x
466,Franklin's Gull,Larus pipixcan,Port Phillip Bay ,VIC,1/22/2005,,Accepted,14
468,Franklin's Gull,Larus pipixcan,Fraser Island ,QLD,5/9/2005,,Accepted,15
654,Franklin's Gull,Larus pipixcan,Barrow Island,WA,11/11/2005,,Accepted,16
763,Franklin's Gull,Larus pipixcan,Paynesville,VIC,10/9/2012,,Accepted,17
819,Franklin's Gull,Larus pipixcan,Lake Barambah,QLD,1/16/2014,,Accepted,18
865,Franklin’s Gull,Larus pipixcan,"Buffalo Creek, Darwin ",NT,3/12/2015,,Accepted,19
756,Frilled Monarch,Arses telescopthalmus ,"Boigu Island, Torres Strait",QLD,7/18/1995,,Not Accepted,x
198,Fulmar Prion,Pachyptila crassirostris ,Mt Cameron W ,TAS,9/11/1995,,Accepted,1
937,Fulmar Prion,Pachyptila crassirostris,Port Fairy,VIC,7/9/2016,,Not Accepted,x
118,Garganey,Spatula querquedula,Shepperton,VIC,1/17/1989,,Accepted,1
52,Glossy Swiftlet,Collocalia esculenta,Julatten,QLD,5/16/1978,,Not Accepted,x
53,Glossy Swiftlet,Collocalia esculenta,Iron Range,QLD,8/18/1980,,Accepted,1
108,Glossy Swiftlet,Collocalia esculenta,Lockhart River ,QLD,4/6/1980,,Accepted,2
217,Glossy Swiftlet,Collocalia esculenta,Warraber Island ,QLD,Jan-88,,Accepted,3
261,Glossy Swiftlet,Collocalia esculenta,"Connells Point, Sydney ",NSW,3/14/1999,,Not Accepted,x
269,Glossy Swiftlet,Collocalia esculenta,Mossman ,QLD,1/22/1999,,Not Accepted,x
316,Glossy Swiftlet,Collocalia esculenta,Sackville North ,NSW,3/9/2001,,Not Accepted,x
500,Glossy Swiftlet,Collocalia esculenta,Daintree  ,QLD,8/14/2006,,Accepted,5
1248,Glossy Swiftlet,Collocalia esculenta,Batemans Bay,NSW,6/13/2022,Submission,Not Accepted,x
75,Gray's Grasshopper-Warbler,Locustella fasciolata,Berrimah,NT,12/23/1979,,Not Accepted,x
375,Gray's Grasshopper-Warbler,Locustella fasciolata,Ashmore Reef,WA,11/5/2001,,Not Accepted,x
165,Great Shearwater,Ardenna gravis,off SE South Australia,SA,1/31/1989,,Accepted,1
267,Great Shearwater,Ardenna gravis,off Portland ,VIC,4/11/1999,,Accepted,2
371,Great Shearwater,Ardenna gravis,off Port Fairy ,VIC,4/7/2002,,Accepted,3
487,Great Shearwater,Ardenna gravis,"off, Wollongong ",NSW,4/22/2006,,Accepted,4
587,Great Shearwater,Ardenna gravis,130 km W of Abrolhos ,WA,10/31/2008,,Accepted,5
687,Great Shearwater,Ardenna gravis,Sydney,NSW,4/9/2011,,Accepted,6
692,Great Shearwater,Ardenna gravis,Swansea,NSW,4/21/2011,,Accepted,7
693,Great Shearwater,Ardenna gravis,Off Wollongong,NSW,4/23/2011,,Accepted,8
694,Great Shearwater,Ardenna gravis,Eden,NSW,3/5/2011,,Accepted,9
704,Great Shearwater,Ardenna gravis,Port Fairy,VIC,4/17/2011,,Accepted,10
721,Great Shearwater,Ardenna gravis,off Port Stephens,NSW,11/20/2011,,Accepted,11
761,Great Shearwater,Ardenna gravis,Eaglehawk Neck,TAS,4/22/2012,,Accepted,12
860,Great Shearwater,Ardenna gravis,Off Eagle Hawk Neck,TAS,2/20/2011,,Accepted,13
949,Great Shearwater,Ardenna gravis,Portland,VIC,4/3/2011,,Accepted,14
