ORAC Case,BARC Case,IOC English name,Scientific name,Location,Date,Decision
315,,White-chinned Petrel,Procellaria aequinoctialis,off Sydney,11 Nov 2000,Accepted
316,,Masked Booby,Sula dactylatra,"Point Danger, Tweed Heads",9 Nov 2000,Accepted
317,,Pink Robin,Petroica rodinogaster,North Rocks,6 Oct 2000,Not accepted
318,,Mottled Petrel,Pterodroma inexpectata,"Point Danger, Tweed Heads",18 Dec 2000,Accepted
319,,Great Frigatebird,Fregata minor,off South West Rocks,16 Dec 2000,Not accepted
320,,Pied Heron,Egretta picata,northern Macquarie Marshes,23 Jan 2001,Accepted
321,,Pied Heron,Egretta picata,Ettamogha via Albury,17 Aug 1999,Accepted
322,,Spotted Bowerbird,Chlamydera maculata,Pottsville,9 Jan 2001,Accepted
323,,Grey-headed Albatross,Thalassarche chrysostoma,off Eden,19 Sep 1999,Accepted
324,,Fairy Tern,Sternula nereis,Harrington Spit,21 Dec 2000,Accepted
325,,Southern Fulmar,Fulmarus glacialoides,off Eden,19 Sep 1999,Accepted
327,277,Antarctic Petrel,Thalassoica antarctica,Maroubra  ,26 Aug 1999,Accepted
328,,Eastern Yellow Wagtail,Motacilla tschutschensis,Ash Island,24 Feb 2001,Accepted
329,,Black-bellied Storm Petrel,Fregetta tropica,off Sydney,9 Dec 2000,Accepted
330,305,Tristram's Storm Petrel,Oceanodroma tristrami,off Sydney,9 Oct 2000,Accepted
331,,Grey-headed Albatross,Thalassarche chrysostoma,Maroubra ,29 Jul 2001,Accepted
332,,Mallee Emu-wren,Stipiturus mallee,Mungo NP,14 Apr 2001,Not accepted
333,,Oriental Plover,Charadrius veredus,Culburra Beach,14 Sep 2001,Not accepted
334,,Oriental Pratincole,Glareola maldivarum,"Dangars Lagoon, Uralla",27 Dec 2001,Accepted
335,263,Papuan Harrier,Circus spilothorax,Lennox Head ,27 Aug 1997,Not accepted
336,,Masked Booby,Sula dactylatra,Fingal Head,22 Nov 2001,Accepted
337,,Roseate Tern,Sterna dougallii,Maroubra ,18 Jul 2001,Not accepted
338,,Grey-headed Albatross,Thalassarche chrysostoma,off Wollongong,4 Jul 1998,Accepted
339,,Grey-headed Albatross,Thalassarche chrysostoma,off Wollongong,28 Sep 1996,Accepted
340,,Grey-headed Albatross,Thalassarche chrysostoma,off Wollongong,2 Aug 1998,Accepted
341,,Blue Petrel,Halobaena caerulea,off Wollongong,3 Jul 1999,Accepted
342,,Eastern Yellow Wagtail,Motacilla tschutschensis,Ash Island,24 Feb 2002,Accepted
343,,Long-toed Stint,Calidris subminuta,Tullakool Saltworks,9 May 2002,Accepted
344,,Cotton Pygmy Goose,Nettapus coromandelianus,Minmi Sewage Treament Ponds,3 Jul 2002,Accepted
345,261,Glossy Swiftlet,Collocalia esculenta,"Connells Point, Sydney ",14 Mar 1999,Not accepted
346,301,Northern Pintail,Anas acuta,"Cowan Ponds, Grafton ",3 Aug 2000,Accepted
348,,Glossy Swiftlet,Collocalia esculenta,Sackville North ,9 Mar 2001,Not accepted
349,318,Western Sandpiper,Calidris mauri,West Byron Wetlands ,22 Nov 2001,Not accepted
350,325,Lesser Yellowlegs,Tringa flavipes,Ash Island,14 Sep 2001,Accepted
351,238,House Swift,Apus nipalensis,Edgeworth ,24 Dec 1997,Not accepted
352,,Long-toed Stint,Calidris subminuta,Jerseyville,26 Jul 2002,Not accepted
353,,Oriental Plover,Charadrius veredus,Clovelly Bowling Club,10 Aug 2002,Accepted
354,,Oriental Plover,Charadrius veredus,Stockton Beach  ,10 Nov 2002,Accepted
355,,Eastern Yellow Wagtail,Motacilla tschutschensis,"Bakers Lagoon, Richmond",23 Dec 2002,Accepted
356,366,Buff-breasted Sandpiper,Tryngites subruficollis,"Bushells Lagoon, Wilberforce",14 Dec 2002,Accepted
357,,Oriental Plover,Charadrius veredus,Raleigh ,25 Oct 2002,Accepted
358,,Scarlet-chested Parrot,Neophema splendida,54 km SW of Louth,5 Oct 2002,Accepted
359,,Red-backed Buttonquail,Turnix maculosus,Coolabah,24 Oct 2000,Accepted
360,348,Northern Shoveler,Anas clypeata,"Pelican Island, Jerseyville ",13 May 2002,Accepted
361,343,Kentish Plover,Charadrius alexandrinus,Old Bar ,14 Feb 2002,Accepted
362,,Eastern Yellow Wagtail,Motacilla tschutschensis,Ash Island,22 Jan 2003,Accepted
363,,Red-backed Buttonquail,Turnix maculosus,McGraths Hill ,10 Jan 1999,Accepted
364.1,,Fairy Tern,Sternula nereis,Lake Conjola,27 Jan 2002,Accepted
364.2,,Fairy Tern,Sternula nereis,"Wallagoot Lake, Bournda NP",27 Dec 2002,Accepted
365,,Banded Whiteface,Aphelocephala nigricincta,Hungerford,20 Sep 1999,Not Confirmed (not assessed)
366,,Masked Booby,Sula dactylatra,off Wollongong,25 May 2003,Accepted
367,379,Northern Shoveler,Anas clypeata,Ash Island,28 Jul 2002,Accepted
368,,Orange-bellied Parrot,Neophema chrysogaster,Maroubra,9 Aug 2003,Accepted
369,,Eastern Yellow Wagtail,Motacilla tschutschensis,Eastlakes Golf Course ,18 Jan 2003,Accepted
370,373,Westland Petrel,Procellaria westlandica,"Flat Rock Beach, Ballina",12 Jan 2003,Accepted
371,,Soft-plumaged Petrel,Pterodroma mollis,off Batemans Bay,6 Oct 2006,Accepted
372,,Eastern Yellow Wagtail,Motacilla tschutschensis,Ash Island,16 Nov 2003,Accepted
373,,Long-toed Stint,Calidris subminuta,Ash Island,28 Dec 2003,Accepted
374,,Great Frigatebird,Fregata minor,"Clarence Head, Yamba",6 Mar 2003,Accepted
375,,Oriental Plover,Charadrius veredus,Comerong Island ,18 Jan 2004,Accepted
376,,White-eared Monarch,Carterornis leucotis,Crowdy Bay NP,5 Nov 2004,Accepted
377,,Bourke's Parrot,Neopsephotus bourkii,Weddin Mountain,21 Oct 2003,Not accepted
378,422,Stilt Sandpiper,Calidris himantopus,Stockton Sandspit,7 Feb 2004,Not accepted
379,401,Canada Goose,Branta canadensis,Shoalhaven Heads ,18 Oct 2002,Accepted
380,405,Franklin's Gull,Leucophaeus pipixcan,"Little Bay, Sydney ",14 Dec 2003,Not accepted
381,387,House Swift,Apus nipalensis,NW of Dungog,1 30 2003,Not accepted
382,397,South Island Pied Oystercatcher,Haematopus finschi,Arrawarra Beach,24 May 2003,Accepted
383,382,Buff-breasted Sandpiper,Tryngites subruficollis,Lake Wollumboola,26 Mar 1999,Accepted
384,,Torresian Imperial Pigeon,Ducula spilorrhoa,Millingandi,1 Apr 2004,Accepted
385,,Elegant Parrot,Neophema elegans,Fowlers Gap,13 Jul 2004,Accepted
386,,Spotted Nightjar,Eurostopodus argus,Kurnell,23 Jun 2001,Not accepted
387,,Light-mantled Sooty Albatross,Phoebetria palpebrata,off Lord Howe Island,20 Jul 2004,Accepted
388,,Kermadec Petrel,Pterodroma neglecta,off Sydney,11 Oct 2004,Accepted
389,,Soft-plumaged Petrel,Pterodroma mollis,off Sydney,5 Oct 2004,Accepted
390,,Southern Royal Albatross,Diomedea (e.) epomophora,off Sydney,5 Oct 2004,Accepted
391,,Grey-backed Storm Petrel,Garrodia nereis,off Sydney,5 Oct 2004,Accepted
392,231,Westland Petrel,Procellaria westlandica,off Wollongong,28 Jul 1996,Accepted
394,416,Buff-breasted Sandpiper,Tryngites subruficollis,Ash Island,13 Feb 2004,Accepted
396,,Green Pygmy Goose,Nettapus pulchellus,"Seales Road Swamp, via Kempsey",9 Dec 2004,Accepted
397,,Masked Booby,Sula dactylatra,South-West Rocks,20 Jan 2005,Accepted
398,,Torresian Imperial Pigeon,Ducula spilorrhoa,Port Macquarie,26 Mar 2005,Accepted
399,,Black-bellied Storm Petrel,Fregetta tropica,off Newcastle,10 Apr 2005,Accepted
400,,Red-backed Buttonquail,Turnix maculosus,"Woodford Island, via Bushgrove",9 Feb 2005,Accepted
401,459,Franklin's Gull,Leucophaeus pipixcan,Avoca Beach ,26 Mar 2005,Not accepted
402,,Oriental Plover,Charadrius veredus,Lord Howe Island,7 Apr 2005,Accepted
403,,Masked Booby,Sula dactylatra,Bermagui,17 Apr 2003,Accepted
404,,Radjah Shelduck,Tadorna radjah,Urunga,2 Aug 2005,Accepted
405,,Pacific Baza,Aviceda subcristata,Tibooburra,7 Jul 2005,Accepted
406,,Radjah Shelduck,Tadorna radjah,Mungo Brush,12 Oct 2005,Accepted
407,,Red-backed Buttonquail,Turnix maculosus,"Norfolk Homestead, Cassilis",28 Jun 2005,Accepted
408,,Fairy Tern,Sternula nereis,"Flat Rock Beach, Ballina",27 Dec 2005,Not accepted
409,,Black-breasted Buttonquail,Turnix melanogaster,"Minyon Falls, Whian Whian NP",9 Jul 2000,Accepted
410,469,Northern Shoveler,Anas clypeata,Near Kempsey ,25 Jun 2005,Accepted
411,,Dusky Honeyeater,Myzomela obscura,Piggabeen,17 Aug 2005,Accepted
412,,Oriental Pratincole,Glareola maldivarum,Jerseyville,16 Feb 2006,Accepted
413,,Red-backed Buttonquail,Turnix maculosus,Richmond Lowlands,3 Feb 2006,Accepted
414,,Olive-backed Sunbird,Cinnyris jugularis,Maitland,11 Mar 2006,Accepted
415,,Red-backed Buttonquail,Turnix maculosus,Kooragang Island,2 Feb 2006,Accepted
416,,White-chinned Petrel,Procellaria aequinoctialis,Lord Howe Island,20 Mar 2006,Accepted
417,,Squatter Pigeon,Geophaps scripta,20 km N of Ashford,13 May 2006,Accepted
418,957,White-bellied Storm Petrel,Fregetta grallaria,off Newcastle,23 Apr 2006,Accepted
419,,White-bellied Storm Petrel,Fregetta grallaria,Yamba  ,23 May 2006,Accepted
420,,White-eared Monarch,Carterornis leucotis,Pearl Beach,26 Feb 2005,Not Confirmed (not assessed)
421,,Masked Booby,Sula dactylatra,off Cape Byron,18 Sep 2005,Accepted
424,481,American Golden Plover,Pluvialis dominica,Shoalhaven Heads ,1 Apr 2006,Not Accepted
425,,Light-mantled Sooty Albatross,Phoebetria palpebrata,off Wollongong,23 Oct 2004,Accepted
426,,Orange Chat,Epthianura aurifrons,Malabar,11 Jan 2006,Accepted
427,1095,Northern Shoveler,Anas clypeata,North Kempsey,27 Jul 2006,Accepted
428,958,White-bellied Storm Petrel,Fregetta grallaria,off Sydney,30 Oct 2006,Accepted
429,,Fiordland Penguin,Eudyptes pachyrhynchus,South Bermagui,19 Oct 2006,Accepted
430,,Red-footed Booby,Sula sula,Off Bunjalung NP,20 Oct 2006,Not accepted
431,,Fiordland Penguin,Eudyptes pachyrhynchus,Green Cape,6 Nov 2006,Accepted
432,,Fiordland Penguin,Eudyptes pachyrhynchus,Norah Head ,7 Nov 2006,Accepted
434,,Kermadec Petrel,Pterodroma neglecta,off Wollongong,28 May 2004,Accepted
435,,Oriental Plover,Charadrius veredus,60 km S of Hay,18 Oct 2006,Accepted
436,,Shy Albatross,Thalassarche cauta,Lord Howe Island,19 Feb 2007,Accepted
437,,Masked Booby,Sula dactylatra,Off Milton,31 Mar 2007,Accepted
438,,Northern Royal Albatross,Diomedea (e.) sanfordi,Off Milton,31 Mar 2007,Accepted
439,,Kermadec Petrel,Pterodroma neglecta,off Ulladulla,31 Mar 2007,Accepted
441,,Painted Finch,Emblema pictum,Broken Hill,5 May 2007,Accepted
442,,Masked Booby,Sula dactylatra,off South West Rocks,11 Apr 2007,Accepted
443,,Painted Finch,Emblema pictum,"Mount Wood, Tibooburra",7 May 2007,Accepted
444,,Cotton Pygmy Goose,Nettapus coromandelianus,"Swan Creek, Grafton",20 May 2007,Accepted
445,,Hardhead,Aythya australis,Lord Howe Island,24 Mar 2007,Accepted
446,,Yellow Chat,Epthianura crocea,White Cliffs,14 Apr 2007,Accepted
447,507,Broad-billed Prion,Pachyptila vittata,"Long Reef, Sydney ",17 Jun 2000,Accepted
448,492,Grey-headed Lapwing,Vanellus cinereus,Burren Junction ,19 Jul 2006,Accepted
449,490,Broad-billed Prion,Pachyptila vittata,Bensville ,7 Jun 2006,Accepted
450,491,South Island Pied Oystercatcher,Haematopus finschi,Stockton Sandspit,3 Feb 2004,Accepted
451,487,Great Shearwater,Ardenna gravis,off Wollongong,22 Apr 2006,Accepted
453,513,Westland Petrel,Procellaria westlandica,Narrabeen,23 Dec 2006,Accepted
454,520,Rosy Starling,Pastor roseus,Coffs Harbour ,4 Dec 2006,Accepted
455,522,South Polar Skua,Stercorarius maccormicki,off Wollongong,24 Feb 2007,Withdrawn
456,,Flock Bronzewing,Phaps histrionica,Sturt NP,25 Sep 2007,Accepted
457,,Kermadec Petrel,Pterodroma neglecta,off Wollongong,22 Mar 2008,Accepted
458,,Painted Finch,Emblema pictum,Menindee,19 Aug 2007,Accepted
459,,Pied Heron,Egretta picata,Bega,31 May 2008,Accepted
460,528,Black Tern,Chlidonias niger,"Woody Head, Iluka ",21 Apr 2007,Not Accepted
461,550,Lesser Yellowlegs,Tringa flavipes,Jerseyville  ,28 Oct 2007,Accepted
462,551,Canada Goose,Branta canadensis,Milton ,26 Dec 2007,Accepted
463,,Light-mantled Sooty Albatross,Phoebetria palpebrata,Port Macquarie,5 Jun 2008,Accepted
464,,Painted Finch,Emblema pictum,north of Jerilderie ,3 Aug 2008,Accepted
465,,Mottled Petrel,Pterodroma inexpectata,off Wollongong,19 Oct 2008,Accepted
466,559,Cook's Petrel,Pterodroma cookii,off Wollongong,24 Nov 2007,Accepted
467,556,House Crow,Corvus splendens ,Dee Why ,13 Mar 2008,Accepted
468,557,White-bellied Storm Petrel,Fregetta grallaria,off Eden,30 Mar 2008,Not Accepted
469,554,Westland Petrel,Procellaria westlandica,off South West Rocks,27 Jun 2007,Not accepted
470,560,Westland Petrel,Procellaria westlandica,off Wollongong,24 Nov 2007,Not accepted
471,,Westland Petrel,Procellaria westlandica,12 km SSW of Ballina ,5 Jan 2009,Accepted
472,,Australian Swiftlet (or White-rumped Swiftlet),Aerodramus sp.,Port Macquarie ,30 Dec 2008,Accepted
473,,Oriental Plover,Charadrius veredus,Ash Island,2 Jan 2009,Not accepted
474,594,Yellow White-eye,Zosterops luteus,Sawtell ,22 Feb 2009,Accepted
475,,Scarlet-chested Parrot,Neophema splendida,Scotia Sanctuary ,18 Oct 2008,Accepted
476,,Cotton Pygmy Goose,Nettapus coromandelianus,Tweed Heads ,16 Apr 2009,Accepted
477,,Red-footed Booby,Sula sula,off Wollongong,28 Mar 2009,Accepted
478,,Cape Barren Goose,Cereopsis novaehollandiae,Shellharbour ,6 Apr 2009,Accepted
479,,Torresian Imperial Pigeon,Ducula spilorrhoa,Raleigh ,25 Apr 2009,Accepted
480,,Torresian Imperial Pigeon,Ducula spilorrhoa,Bulahdelah ,11 May 2009,Accepted
481,,Torresian Imperial Pigeon,Ducula spilorrhoa,Newport ,9 Apr 2009,Accepted
482,,Kermadec Petrel,Pterodroma neglecta,Maroubra ,24 May 2009,Not accepted
483,,Light-mantled Sooty Albatross,Phoebetria palpebrata,off Eden,31 May 2009,Accepted
484,,Radjah Shelduck,Tadorna radjah,Ballina ,6 May 2009,Accepted
485,,Sooty Albatross,Phoebetria fusca,off Jervis Bay ,10 Jul 2009,Accepted
486,598,Westland Petrel,Procellaria westlandica,off Sydney,9 May 2009,Accepted
487,599,Pycroft's Petrel,Pterodroma pycrofti,off Lord Howe Island ,1 Oct 2008,Not Accepted
488,,Red-footed Booby,Sula sula,off Eden,11 Sep 2009,Accepted
489,,Cotton Pygmy Goose,Nettapus coromandelianus,Kyogle ,20 Sep 2009,Accepted
490,,Thick-billed Grasswren,Amytornis modestus,near Packsaddle ,24 Aug 2008,Accepted
491,,Torresian Imperial Pigeon,Ducula spilorrhoa,Smithtown ,18 Aug 2009,Accepted
492,,Light-mantled Sooty Albatross,Phoebetria palpebrata,Lennox Head ,27 May 2009,Accepted
493,,Light-mantled Sooty Albatross,Phoebetria palpebrata,Ballina ,24 Aug 2007,Accepted
494,,Black-breasted Buttonquail,Turnix melanogaster,Dorrigo NP,31 Jul 2007,Not accepted
496,,Long-toed Stint,Calidris subminuta,Tuross Estuary,6 Sep 2009,Accepted
497,,Southern Fulmar,Fulmarus glacialoides,Batemans Bay  ,22 Oct 2009,Accepted
498,,Bridled Tern,Onychoprion anaethetus,off Wollongong,28 Nov 2009,Accepted
499,,Bridled Tern,Onychoprion anaethetus,Ballina ,18 Dec 2009,Accepted
500,,White-browed Crake,Porzana cinerea,West Byron Wetlands ,11 Feb 2010,Accepted
501,,Great Frigatebird,Fregata minor,Montague Island ,10 Jan 2010,Accepted
502,,Red-footed Booby,Sula sula,off Port Stephens,27 Mar 2010,Accepted
503,959,White-bellied Storm Petrel,Fregetta grallaria,off Port Stephens,27 Mar 2010,Accepted
504,891,White-bellied Storm Petrel,Fregetta grallaria,off Sydney,13 Mar 2010,Accepted
505,,Cape Barren Goose,Cereopsis novaehollandiae,Ulladulla ,16 Mar 2010,Accepted
506,615,Westland Petrel,Procellaria westlandica,off Lord Howe Island ,29 Sep 2009,Not accepted
507,617,Cook's Petrel,Pterodroma cookii,Grafton ,22 Oct 2009,Accepted
508,627,Laughing Gull,Leucophaeus atricilla,Lord Howe Island ,12 Jan 2010,Accepted
509,629,Chestnut-tailed Starling,Sturnia malabarica,Hornsby,24 Jan 2010,Not accepted
510,633,Dunlin,Calidris alpina,Tuross Estuary ,5 Jan 2010,Accepted
511,,Green Pygmy Goose,Nettapus pulchellus,Narrabri Lake ,24 Sep 2010,Accepted
512,,Scarlet-chested Parrot,Neophema splendida,near Silverton ,10 Aug 2010,Not accepted
513,,Purple-crowned Lorikeet,Glossopsitta porphyrocephala,Deniliquin ,28 Oct 2010,Accepted
514,,Pied Heron,Egretta picata,Narran Lake,11 Apr 2011,Accepted
515,,Radjah Shelduck,Tadorna radjah,"Carrs Creek, Grafton",29 Jan 2011,Accepted
516,898,Cook's Petrel,Pterodroma cookii,"Circular Quay, Sydney Harbour",26 Mar 2009,Accepted
517,899,Cook's Petrel,Pterodroma cookii,off Ulladulla,19 Oct 2009,Accepted
518,890,White-bellied Storm Petrel,Fregetta grallaria,off Ulladulla,29 Mar 2009,Accepted
519,,Grey-backed Storm Petrel,Garrodia nereis,off Wollongong,28 May 2011,Accepted
520,,Green Pygmy Goose,Nettapus pulchellus,"Smiths Lake, Coffs Harbour",28 May 2011,Accepted
521,,Soft-plumaged Petrel,Pterodroma mollis,Maroubra  ,14 May 2011,Not accepted
522,,Grey-backed Storm Petrel,Garrodia nereis,off Sydney,9 Jul 2011,Accepted
523,,Grey-backed Storm Petrel,Garrodia nereis,off Sydney,13 Aug 2011,Accepted
524,636,New Zealand Storm Petrel,Fregetta maoriana,off Port Stephens,28 Mar 2010,Accepted
525,645,American Golden Plover,Pluvialis dominica,Shoalhaven Heads,27 Sep 2006,Not accepted
526,648,Semipalmated Plover,Charadrius semipalmatus,Tuross Estuary,22 May 2010,Accepted
527,656,Red-billed Tropicbird,Phaethon aethereus,Lord Howe Island,6 Oct 2010,Accepted
528,684,New Zealand Storm Petrel,Fregetta maoriana,off Ulladulla,29 Mar 2010,Accepted
529,687,Great Shearwater,Ardenna gravis,off Sydney,9 Apr 2011,Accepted
530,688,South Polar Skua,Stercorarius maccormicki,off Wollongong,25 Oct 2009,Accepted
531,689,South Polar Skua,Stercorarius maccormicki,off Sydney,9 Apr 2011,Accepted
532,690,South Polar Skua,Stercorarius maccormicki,off Sydney,23 Oct 1983,Accepted
533,691,New Zealand Storm Petrel,Fregetta maoriana,off Wollongong,24 Apr 2010,Accepted
534,692,Great Shearwater,Ardenna gravis,off Swansea,21 Apr 2011,Accepted
535,693,Great Shearwater,Ardenna gravis,off Wollongong,23 Apr 2011,Accepted
536,694,Great Shearwater,Ardenna gravis,off Eden,5 Mar 2011,Accepted
537,,Long-toed Stint,Calidris subminuta,Lake Cargelligo STW  ,26 Sep 2011,Not accepted
538,,Scarlet-chested Parrot,Neophema splendida,north of Broken Hill ,26 Oct 2011,Accepted
539,,Red-backed Buttonquail,Turnix maculosus,Batemans Bay  ,7 Nov 2011,Not accepted
540,,Red-backed Buttonquail,Turnix maculosus,Crowdy Bay NP,11 Dec 2011,Accepted
541,,Radjah Shelduck,Tadorna radjah,Old Bonalbo  ,12 Feb 2012,Accepted
542,,Cape Barren Goose,Cereopsis novaehollandiae,"Mayfield, Newcastle  ",28 Apr 2011,Accepted
543,,Cook's Petrel,Pterodroma cookii,off Eden,22 Oct 2011,Accepted
544,,Cook's Petrel,Pterodroma cookii,off Eden,23 Oct 2011,Accepted
545,,Red-backed Buttonquail,Turnix maculosus,Bundjalung NP,21 Jan 2012,Accepted
546,,Mottled Petrel,Pterodroma inexpectata,off Eden,22 Oct 2011,Accepted
547,,White-bellied Storm Petrel,Fregetta grallaria,off Port Stephens,27 Feb 2010,Not accepted
548,,Bridled Tern,Onychoprion anaethetus,off Sydney,10 Mar 2012,Accepted
549,,Red-footed Booby,Sula sula,off Ulladulla,29 Mar 2010,Accepted
550,,Red-footed Booby,Sula sula,off Sydney,11 Feb 2012,Accepted
551,,Oriental Pratincole,Glareola maldivarum,Lord Howe Island  ,2 Jan 2012,Accepted
552,,Light-mantled Sooty Albatross,Phoebetria palpebrata,Stockton Beach  ,19 Mar 2012,Accepted
553,,Southern Fulmar,Fulmarus glacialoides,Wreck Bay ,7 Jun 2012,Accepted
554,,Light-mantled Sooty Albatross,Phoebetria palpebrata,Wreck Bay ,7 Jun 2012,Accepted
555,,Purple-crowned Lorikeet,Glossopsitta porphyrocephala,Oaklands ,9 Jun 2012,Accepted
556,,Grey-backed Storm Petrel,Garrodia nereis,off Eden,21 Jul 2012,Accepted
557,,Little Shearwater,Puffinus assimilis,off Sydney,14 Jul 2012,Accepted
558,,Little Shearwater,Puffinus assimilis,off Sydney,14 Jul 2012,Accepted
560,708,Broad-billed Prion,Pachyptila vittata,Ulladulla,26 Jul 2011,Accepted
561,715,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchus,off Wollongong,24 Aug 1986,Accepted
562,721,Great Shearwater,Ardenna gravis,off Port Stephens,20 Nov 2011,Accepted
563,742,South Polar Skua,Stercorarius maccormicki,off Sydney,14 Apr 2012,Accepted
564,745,Least Sandpiper,Calidris minutilla,Tuross Estuary,24 Jan 2011,Not Accepted
565,746,Little Stint,Calidris minuta,Tuross Estuary,5 Mar 2012,Not Accepted
566,749,Temminck's Stint,Calidris temminckii,Tuross Estuary,9 Apr 2012,Not Accepted
567,764,Baird's Sandpiper,Calidris bairdii,Tuross Estuary,9 Jul 2012,Not accepted
568,,Little Curlew,Numenius minutus,Ballina  ,6 Apr 2012,Accepted
569,,Cotton Pygmy Goose,Nettapus coromandelianus,Menindee  ,19 Nov 2012,Not accepted
570,,Cook's Petrel,Pterodroma cookii,off Port Stephens,19 Nov 2012,Accepted
571,,Oriental Plover,Charadrius veredus,Shoalhaven Heads  ,26 Jan 2013,Accepted
572,,Red-footed Booby,Sula sula,Swansea  ,29 Jan 2013,Accepted
573,,Red-footed Booby,Sula sula,South West Rocks  ,29 Jan 2013,Accepted
574,,Pink Robin,Petroica rodinogaster,Macquarie NP  ,14 Feb 2014,Not accepted
575,,Cook's Petrel,Pterodroma cookii,off Sydney,13 Oct 2012,Accepted
576,,Bridled Tern,Onychoprion anaethetus,Newcastle  ,30 Jan 2013,Accepted
577,,Radjah Shelduck,Tadorna radjah,Corindi  ,14 Apr 2013,Accepted
578,,Radjah Shelduck,Tadorna radjah,Yamba  ,1 Apr 2013,Accepted
579,,Pink Robin,Petroica rodinogaster,Morton NP   ,24 Apr 2013,Not accepted
580,,Great Frigatebird,Fregata minor,S Broulee Beach   ,31 Jan 2013,Not accepted
581,,Soft-plumaged Petrel,Pterodroma mollis,off Sydney,11 May 2013,Accepted
582,,Blue Petrel,Halobaena caerulea,off Wollongong,22 Jun 2013,Accepted
583,,Soft-plumaged Petrel,Pterodroma mollis,off Sydney,26 Oct 2012,Accepted
584,766,American Golden Plover,Pluvialis dominica,"Boat Harbour, Kurnell",6 Jan 2009,Accepted
585,767,Westland Petrel,Procellaria westlandica,off Wollongong,15 Dec 2012,Accepted
586,768,House Swift,Apus nipalensis,Iluka,1 Jan 2013,Not accepted
587,776,Westland Petrel,Procellaria westlandica,off Wollongong,26 Feb 2005,Accepted
588,777,South Polar Skua,Stercorarius maccormicki,off Wollongong,23 Feb 2008,Accepted
589,780,South Polar Skua,Stercorarius maccormicki,off Wollongong,23 Sep 2012,Accepted
590,782,House Swift,Apus nipalensis,Surfside,8 Feb 2012,Not accepted
591,785,Barau's Petrel,Pterodroma baraui,off Sydney,9 Feb 2013,Accepted
592,786,Westland Petrel,Procellaria westlandica,Port Kembla,25 Dec 2012,Accepted
593,790,Yellowhammer,Emberiza citrinella,"Mount Eliza, Lord Howe Island",18 Aug 1949,Accepted
594,,Cotton Pygmy Goose,Nettapus coromandelianus,near Kyogle ,27 Aug 2013,Accepted
595,,Oriental Plover,Charadrius veredus,Wilberforce ,27 Sep 2013,Accepted
596,,Oriental Plover,Charadrius veredus,"Long Reef, Sydney ",8 Oct 2013,Accepted
597,,Oriental Plover,Charadrius veredus,Sydney Airport ,15 Oct 2013,Accepted
598,,Little Shearwater,Puffinus assimilis,Boodooree NP,28 Jun 2013,Accepted
599,,Oriental Plover,Charadrius veredus,Moruya,11 Oct 2013,Accepted
600,,Oriental Plover,Charadrius veredus,Tuggerah ,27 Sep 2013,Accepted
601,,Southern Royal Albatross,Diomedea (e.) epomophora,off Ulladulla,18 Oct 2009,Accepted
602,,Northern Royal Albatross,Diomedea (e.) sanfordi,off Wollongong,29 Aug 2010,Accepted
603,,Asian Dowitcher,Limnodromus semipalmatus,Comerong Island ,16 Nov 2013,Accepted
604,,Grey-headed Albatross,Thalassarche chrysostoma,off Wollongong,12 Aug 2006,Accepted
605,,Grey-headed Albatross,Thalassarche chrysostoma,off Wollongong,24 Jun 2006,Accepted
606,,Cotton Pygmy Goose,Nettapus coromandelianus,Kyogle  ,26 Apr 2014,Accepted
607,,Light-mantled Sooty Albatross,Phoebetria palpebrata,off Port Stephens,9 Mar 2014,Accepted
608,,Black-breasted Buttonquail,Turnix melanogaster,Cougal  ,7 Mar 2014,Accepted
609,,Long-toed Stint,Calidris subminuta,south of Milton  ,27 Apr 2014,Not accepted
610,,Cotton Pygmy Goose,Nettapus coromandelianus,Hillston  ,18 Apr 2014,Accepted
611,,Salvin's Albatross,Thalassarche salvini,off Wollongong,26 Jun 2010,Accepted
612,,Salvin's Albatross,Thalassarche salvini,off Sydney,8 Oct 2011,Accepted
613,,Northern Royal Albatross,Diomedea (e.) sanfordi,off Wollongong,27 Aug 2005,Accepted
614,,Northern Royal Albatross,Diomedea (e.) sanfordi,off Ulladulla,30 Mar 2007,Accepted
615,,Northern Royal Albatross,Diomedea (e.) sanfordi,off Wollongong,26 Jul 2008,Accepted
616,,Northern Royal Albatross,Diomedea (e.) sanfordi,off Wollongong,24 Aug 2008,Accepted
617,,Northern Royal Albatross,Diomedea (e.) sanfordi,off Ulladulla,20 Oct 2008,Accepted
618,,Northern Royal Albatross,Diomedea (e.) sanfordi,off Wollongong,24 Aug 2013,Accepted
619,,Peregrine Falcon,Falco peregrinus calidus,east of Griffith  ,18 Mar 2010,Accepted
620,,Long-toed Stint,Calidris subminuta,Tuggerah  ,29 Mar 2014,Accepted
621,,Grey-headed Albatross,Thalassarche chrysostoma,off Sydney,10 Jul 2010,Accepted
622,,Dusky Honeyeater,Myzomela obscura,Tweed Heads ,29 Jun 2014,Accepted
623,,Oriental Plover,Charadrius veredus,near Largs  ,26 Jan 2014,Accepted
624,,Cotton Pygmy Goose,Nettapus coromandelianus,Nana Glen ,12 Aug 2014,Accepted
625,,Soft-plumaged Petrel,Pterodroma mollis,off Eden,7 Sep 2014,Accepted
626,,Grey-headed Albatross,Thalassarche chrysostoma,off Wollongong,22 Sep 2012,Accepted
