ORAC Case,BARC Case,IOC English name,Scientific name,Location,Date,Decision
68,140,Grey Petrel,Procellaria cinerea,"Flat Rock Beach, Ballina",17 Feb 1985,Accepted
69,,Common Noddy,Anous stolidus,North Curl Curl,23 Feb 1992,Accepted
70,,White-necked Petrel,Pterodroma cervicalis,off Wollongong,16 Feb 1992,Accepted
71,,Australian Swiftlet,Aerodramus terraereginae,"Richmond Hill, Lismore",21 Feb 1992,Accepted
72,,Masked Owl,Tyto novaehollandiae,Kiola State Forest,10 Nov 1991,Accepted
73,,Common Diving Petrel,Pelecanoides urinatrix,Green Cape,26 Aug 1991,Accepted
74,,Grey-backed Storm Petrel,Garrodia nereis,off Eden,16 Jul 1990,Accepted
75,,Streaked Shearwater,Calonectris leucomelas,off Shellharbour,6 Dec 1989,Accepted
76,144,South Polar Skua,Stercorarius maccormicki,off Wollongong,20 Jun 1990,Accepted
77.1,139,Buff-breasted Sandpiper,Tryngites subruficollis,Lord Howe Island,6 Apr 1992,Not accepted
77.2,,Grey Ternlet,Procelsterna albivitta,off Wollongong,28 Feb 1987,Accepted
78,,Oriental Plover,Charadrius veredus,"Peri Lake, Paroo River",14 Oct 1991,Accepted
81,,Arctic Tern,Sterna paradisaea,Windang,22 Oct 1988,Not Confirmed (not assessed)
82,,Flock Bronzewing,Phaps histrionica,"Bullabelalie HSD, Wielmoringle",30 Jun 1988,Accepted
83,,Soft-plumaged Petrel,Pterodroma mollis,off Wollongong,23 Oct 1988,Accepted
84,,Red-capped Robin,Petroica goodenovii,"Bicentenial Park, Ballina",4 Sep 1991,Accepted
85,,Streaked Shearwater,Calonectris leucomelas,off Wollongong,29 Apr 1992,Accepted
86,,Shining Flycatcher,Myiagra alecto,Cobaki Broadwater ,14 Nov 1989,Accepted
87,,Shining Flycatcher,Myiagra alecto,Cobaki Broadwater ,15 Jul 1990,Accepted
88,,Brown Booby,Sula leucogaster,off Wollongong,27 Nov 1988,Accepted
89,,Red-tailed Tropicbird,Phaethon rubricauda,off Kiama ,27 Jan 1989,Accepted
90,,Common Diving Petrel,Pelecanoides urinatrix,off Kiama ,22 Jan 1989,Not accepted
91,,Red Goshawk,Erythrotriorchis radiatus,Noerthern Rivers Region,20 Apr 1992,Not accepted
92,,Red Goshawk,Erythrotriorchis radiatus,Alstonville District,xx Jul 1991,Accepted
93,,Streaked Shearwater,Calonectris leucomelas,off Wollongong,19 Feb 1989,Accepted
94,,Square-tailed Kite,Lophoictinia isura,Royal National Park,27 Aug 1991,Not accepted
95,,Double-eyed Fig Parrot,Cyclopsitta diophthalma,Brunswick Heads,26 Jul 1991,Accepted
96,,Fairy Tern,Sternula nereis,"Long Reef, Sydney ",26 Jan 1990,Not accepted
97,,Grey-headed Albatross,Thalassarche chrysostoma,off Long Reef,10 Jul 1982,Not accepted
98,150,Sooty Albatross,Phoebetria fusca,"Long Reef, Sydney ",10 Jul 1992,Not accepted
99,,Metallic Starling,Aplonis metallica,Nambucca Heads,9 Nov 1992,Not accepted
100,,Painted Finch,Emblema pictum,Sturt NP,14 Sep 1992,Accepted
101,,Black-bellied Storm Petrel,Fregetta tropica,"Congo Beach, Moruya",18 Nov 1991,Accepted
102,,Black Petrel,Procellaria parkinsoni,off Wollongong,19 Nov 1992,Accepted
103,,Arctic Tern,Sterna paradisaea,Norah Head ,29 Aug 1992,Accepted
104,,Southern Fulmar,Fulmarus glacialoides,Tilba Lake Beach,xx Sep 1990,Accepted
105,,White-chinned Petrel,Procellaria aequinoctialis,off Wollongong,19 Nov 1992,Accepted
106,,Black-throated Finch,Poephila cincta,Swanbrook Inverell,13 Nov 1992,Accepted
107,,Oriental Pratincole,Glareola maldivarum,Macksville,10 Dec 1992,Accepted
108,,Great Frigatebird,Fregata minor,Nambucca Heads,15 Feb 1981,Accepted
109,,Common Diving Petrel,Pelecanoides urinatrix,Sydney northern beaches,12 Aug 1992,Accepted
110,,Black-winged Petrel,Pterodroma nigripennis,Mangrove Mountain,3 Apr 1992,Accepted
111,,Light-mantled Sooty Albatross,Phoebetria palpebrata,Newport Beach,10 Jun 1991,Accepted
112,,Common Diving Petrel,Pelecanoides urinatrix,off South West Rocks,15 Aug 1993,Accepted
113,,White-necked Petrel,Pterodroma cervicalis,off Wollongong,21 Jan 1990,Accepted
114,,Australian Swiftlet,Aerodramus terraereginae,Lismore,21 Nov 1992,Accepted
115,,Brown Booby,Sula leucogaster,"Boat Harbour, Kurnell",26 Jan 1993,Accepted
116,156,White-rumped Sandpiper,Calidris fuscicollis,"Tenambit Common, Maitland",21 Dec 1989,Not accepted
117,,Red-backed Buttonquail,Turnix maculosus,"Bombah Point, Myall Lakes NP",xx Jan 1992,Not accepted
118,,Banded Honeyeater,Cissomela pectoralis,Greenwell Point,22 Feb 1993,Accepted
119,,Southern Fulmar,Fulmarus glacialoides,off Wollongong,22 Aug 1987,Accepted
120,159,Buff-breasted Sandpiper,Tryngites subruficollis,Lake Bathurst,8 Jan 1993,Accepted
121,,Oriental Pratincole,Glareola maldivarum,Parkes Sewage Treatment Plant,12 Apr 1993,Accepted
122,161,Oriental Reed Warbler,Acrocephalus orientalis,Port Macquarie,27 Dec !993,Accepted
